epoch;accuracy;s;s_temp;time
1;4.63637e-310;3;3;4.43034
2;3.45994e-314;3;3;5.43697
3;2.122e-314;3;3;4.85404
4;3.39519e-312;3;3;4.38778
5;4.63637e-310;3;3;4.26678
6;4.42442e-314;3;3;4.2977
7;2.122e-314;3;3;5.44927
8;4.07423e-312;3;3;4.01096
9;7.41098e-323;3;3;4.8315
10;6.40888e-314;3;3;4.65394
11;2.122e-314;3;3;4.03386
12;4.07423e-312;3;3;3.34322
13;7.90505e-323;3;3;4.81225
14;9.87884e-314;3;3;4.01063
15;2.122e-314;3;3;5.46647
16;4.75327e-312;3;3;4.1037
17;4.63637e-310;3;3;4.48683
18;1.15741e-313;3;3;5.11749
19;2.122e-314;3;3;4.72237
20;4.75327e-312;3;3;4.74546
21;4.63637e-310;3;3;4.32106
22;1.39059e-313;3;3;4.57126
23;2.122e-314;3;3;4.90062
24;0;3;3;4.01514
25;0;3;3;4.86743
26;1.4854e-313;3;3;5.11952
27;2.122e-314;3;3;4.00653
28;0;3;3;4.7226
29;0;3;3;4.70513
30;1.6976e-313;3;3;4.85764
31;2.122e-314;3;3;4.66369
32;0;3;3;5.61958
33;0;3;3;4.77474
34;1.9098e-313;3;3;4.83836
35;2.122e-314;3;3;5.12781
36;0;3;3;4.04838
37;0;3;3;4.88357
38;2.122e-313;3;3;5.12982
39;2.122e-314;3;3;5.2357
40;0;3;3;4.33005
41;0;3;3;3.67237
42;2.3342e-313;3;3;5.20015
43;2.122e-314;3;3;4.75534
44;0;3;3;4.28344
45;0;3;3;4.30395
46;2.54639e-313;3;3;5.19038
47;2.122e-314;3;3;5.27717
48;0;3;3;5.16319
49;0;3;3;5.31277
50;2.75859e-313;3;3;5.60211
51;2.122e-314;3;3;5.17745
52;0;3;3;4.24128
53;0;3;3;3.94725
54;2.97079e-313;3;3;4.14235
55;2.122e-314;3;3;5.08161
56;0;3;3;4.79181
57;0;3;3;3.94317
58;3.18299e-313;3;3;5.61756
59;2.122e-314;3;3;5.04922
60;0;3;3;3.71078
61;0;3;3;3.7116
62;3.39519e-313;3;3;4.74074
63;2.122e-314;3;3;4.73409
64;0;3;3;4.26984
65;0;3;3;4.52204
66;3.60739e-313;3;3;4.81086
67;2.122e-314;3;3;3.91001
68;0;3;3;5.17701
69;0;3;3;5.16431
70;3.81959e-313;3;3;4.82939
71;2.122e-314;3;3;5.2255
72;0;3;3;4.69906
73;0;3;3;5.09421
74;4.03179e-313;3;3;4.6711
75;2.122e-314;3;3;5.22624
76;0;3;3;4.56294
77;0;3;3;5.26192
78;4.24399e-313;3;3;4.6087
79;2.122e-314;3;3;4.8183
80;0;3;3;4.69563
81;0;3;3;5.15437
82;4.45619e-313;3;3;5.15528
83;2.122e-314;3;3;4.34556
84;0;3;3;4.6842
85;0;3;3;4.37407
86;4.66839e-313;3;3;5.06723
87;2.122e-314;3;3;5.11188
88;0;3;3;5.2544
89;0;3;3;5.11039
90;4.88059e-313;3;3;5.01525
91;2.122e-314;3;3;4.73369
92;0;3;3;4.24392
93;0;3;3;5.12826
94;5.09279e-313;3;3;5.01898
95;2.122e-314;3;3;4.74753
96;0;3;3;4.71465
97;0;3;3;4.35118
98;-nan;3;3;4.03747
99;2.122e-314;3;3;4.5596
100;0;3;3;5.05532
