epoch;accuracy;s;s_temp;time
0;0.666667;3;3;0.705942
1;0.8;3;3;0.736218
2;0.866667;3;3;0.605456
3;0.8;3;3;0.634096
4;0.8;3;3;0.620078
5;0.8;3;3;0.731685
6;0.866667;3;3;0.750275
7;0.866667;3;3;0.623634
8;0.8;3;3;0.849043
9;0.866667;3;3;0.750346
10;0.8;3;3;0.79068
11;0.9;3;3;0.655961
12;0.866667;3;3;0.738503
13;0.866667;3;3;0.756191
14;0.866667;3;3;0.776631
15;0.866667;3;3;0.779798
16;0.866667;3;3;0.767246
17;0.866667;3;3;0.770078
18;0.866667;3;3;0.602969
19;0.866667;3;3;0.734514
20;0.866667;3;3;0.75192
21;0.866667;3;3;0.772917
22;0.866667;3;3;0.804165
23;0.866667;3;3;0.651871
24;0.866667;3;3;0.746153
25;0.866667;3;3;0.731285
26;0.866667;3;3;0.602601
27;0.866667;3;3;0.651826
28;0.866667;3;3;0.737123
29;0.866667;3;3;0.670518
30;0.866667;3;3;0.784627
31;0.866667;3;3;0.614298
32;0.866667;3;3;0.600583
33;0.866667;3;3;0.785381
34;0.866667;3;3;0.753925
35;0.866667;3;3;0.727557
36;0.8;3;3;0.792332
37;0.866667;3;3;0.763628
38;0.866667;3;3;0.813248
39;0.866667;3;3;0.62908
40;0.8;3;3;0.775266
41;0.866667;3;3;0.781319
42;0.866667;3;3;0.795954
43;0.866667;3;3;0.62571
44;0.866667;3;3;0.770295
45;0.866667;3;3;0.794363
46;0.866667;3;3;0.615703
47;0.866667;3;3;0.797914
48;0.8;3;3;0.804286
49;0.8;3;3;0.804633
50;0.866667;3;3;0.801787
51;0.866667;3;3;0.646003
52;0.866667;3;3;0.801046
53;0.866667;3;3;0.828973
54;0.866667;3;3;0.807516
55;0.866667;3;3;0.6333
56;0.866667;3;3;0.798706
57;0.866667;3;3;0.787797
58;0.866667;3;3;0.798582
59;0.866667;3;3;0.662822
60;0.866667;3;3;0.783681
61;0.866667;3;3;0.779988
62;0.866667;3;3;0.798921
63;0.866667;3;3;0.75983
64;0.866667;3;3;0.931968
65;0.866667;3;3;0.766953
66;0.866667;3;3;0.786222
67;0.866667;3;3;0.799469
68;0.866667;3;3;0.674895
69;0.866667;3;3;0.645559
70;0.866667;3;3;0.656941
71;0.866667;3;3;0.784716
72;0.866667;3;3;0.790779
73;0.8;3;3;0.647695
74;0.866667;3;3;0.66315
75;0.866667;3;3;0.79394
76;0.866667;3;3;0.622811
77;0.866667;3;3;0.639846
78;0.866667;3;3;0.628452
79;0.866667;3;3;0.836564
80;0.866667;3;3;0.645173
81;0.866667;3;3;0.634037
82;0.866667;3;3;0.637133
83;0.866667;3;3;0.799659
84;0.866667;3;3;0.660247
85;0.8;3;3;0.644267
86;0.866667;3;3;0.652952
87;0.866667;3;3;0.634648
88;0.866667;3;3;0.618155
89;0.866667;3;3;0.640674
90;0.866667;3;3;0.632174
91;0.866667;3;3;0.639684
92;0.8;3;3;0.638464
93;0.866667;3;3;0.625979
94;0.866667;3;3;0.648349
95;0.866667;3;3;0.623579
96;0.866667;3;3;0.63684
97;0.866667;3;3;0.629047
98;0.866667;3;3;0.643591
99;0.866667;3;3;0.643229
