epoch;accuracy;s;s_temp
0;0.636;15;15
1;0.6536;15;14
2;0.6072;15;16
3;0.6808;14;14
4;0.7034;14;13
5;0.6048;14;15
6;0.5898;13;13
7;0.5694;13;12
8;0.6448;13;14
9;0.7292;14;14
10;0.758;14;13
11;0.6688;14;15
12;0.6578;13;13
13;0.7976;13;12
14;0.6634;13;14
15;0.6544;12;12
16;0.7462;12;11
17;0.678;12;13
18;0.8828;11;11
19;0.8138;11;10
20;0.7296;11;12
21;0.7688;11;12
22;0.7008;11;10
23;0.6412;11;12
24;0.7512;11;12
25;0.7616;11;10
26;0.7044;11;12
27;0.6368;10;10
28;0.8694;10;9
29;0.7404;10;11
30;0.8742;9;9
31;0.7864;9;8
32;0.8274;9;10
33;0.7858;9;10
34;0.8858;9;8
35;0.8136;9;10
36;0.7314;8;8
37;0.8636;8;7
38;0.8578;8;9
39;0.7612;7;7
40;0.8402;7;6
41;0.8494;7;8
42;0.803;8;8
43;0.8284;8;7
44;0.7866;8;9
45;0.6812;7;7
46;0.7974;7;6
47;0.827;7;8
48;0.652;8;8
49;0.7836;8;7
50;0.8636;8;9
51;0.8908;9;9
52;0.799;9;8
53;0.639;9;10
54;0.839;9;10
55;0.8292;9;8
56;0.8568;9;10
57;0.8466;10;10
58;0.826;10;9
59;0.7074;10;11
60;0.7636;10;11
61;0.7374;10;9
62;0.8138;10;11
63;0.8178;11;11
64;0.789;11;10
65;0.7228;11;12
66;0.7498;11;12
67;0.7502;11;10
68;0.7508;11;12
69;0.7336;12;12
70;0.7712;12;11
71;0.6962;12;13
72;0.668;11;11
73;0.759;11;10
74;0.8114;11;12
75;0.6836;12;12
76;0.7658;12;11
77;0.7186;12;13
78;0.5694;11;11
79;0.7294;11;10
80;0.7854;11;12
81;0.8978;12;12
82;0.7942;12;11
83;0.6758;12;13
84;0.7014;12;13
85;0.6216;12;11
86;0.7192;12;13
87;0.704;13;13
88;0.5904;13;12
89;0.7396;13;14
90;0.7032;14;14
91;0.7526;14;13
92;0.7196;14;15
93;0.7062;13;13
94;0.6094;13;12
95;0.7156;13;14
96;0.695;14;14
97;0.7182;14;13
98;0.599;14;15
99;0.7064;13;13
100;0.7214;13;12
101;0.73;13;14
102;0.745;14;14
103;0.7186;14;13
104;0.6896;14;15
105;0.7344;14;15
106;0.8332;14;13
107;0.7516;14;15
108;0.7512;13;13
109;0.6778;13;12
110;0.6444;13;14
111;0.7372;13;14
112;0.678;13;12
113;0.6634;13;14
114;0.6832;13;14
115;0.5994;13;12
116;0.6958;13;14
117;0.6722;14;14
118;0.6216;14;13
119;0.7056;14;15
120;0.6794;15;15
121;0.6724;15;14
122;0.6888;15;16
123;0.6556;16;16
124;0.6996;16;15
125;0.7116;16;17
126;0.6568;17;17
127;0.7356;17;16
128;0.702;17;18
129;0.7118;16;16
130;0.7208;16;15
131;0.6608;16;17
132;0.6612;15;15
133;0.6736;15;14
134;0.6568;15;16
135;0.6912;14;14
136;0.7096;14;13
137;0.699;14;15
138;0.6454;13;13
139;0.7098;13;12
140;0.693;13;14
141;0.7262;12;12
142;0.7986;12;11
143;0.7052;12;13
144;0.7132;11;11
145;0.7622;11;10
146;0.7334;11;12
147;0.7778;10;10
148;0.8124;10;9
149;0.814;10;11
150;0.6422;11;11
151;0.7216;11;10
152;0.7;11;12
153;0.7014;10;10
154;0.82;10;9
155;0.6878;10;11
156;0.7102;9;9
157;0.8954;9;8
158;0.8852;9;10
159;0.8128;8;8
160;0.8726;8;7
161;0.8476;8;9
162;0.8802;7;7
163;0.8916;7;6
164;0.8132;7;8
165;0.8512;6;6
166;0.9656;6;5
167;0.8258;6;7
168;0.978;5;5
169;0.9836;5;4
170;0.7878;5;6
171;0.7566;4;4
172;0.7258;4;3
173;0.9882;4;5
174;0.81;5;5
175;0.8232;5;4
176;0.7342;5;6
177;0.678;4;4
178;0.7712;4;3
179;0.937;4;5
180;0.796;5;5
181;0.9014;5;4
182;0.862;5;6
183;0.869;4;4
184;0.6684;4;3
185;0.8152;4;5
186;0.7672;4;5
187;0.8352;4;3
188;0.8128;4;5
189;0.8058;3;3
190;0.4984;3;2
191;0.78;3;4
192;0.904;3;4
193;0.518;3;2
194;0.8518;3;4
195;0.8948;3;4
196;0.469;3;2
197;0.8754;3;4
198;0.8072;3;4
199;0.4914;3;2
200;0.8316;3;4
201;0.7994;4;4
202;0.7722;4;3
203;0.9272;4;5
204;0.8976;5;5
205;0.886;5;4
206;0.7238;5;6
207;0.8486;5;6
208;0.8598;5;4
209;0.6686;5;6
210;0.9756;4;4
211;0.911;4;3
212;0.8896;4;5
213;0.9802;4;5
214;0.903;4;3
215;0.7902;4;5
216;0.8924;4;5
217;0.9542;4;3
218;0.94;4;5
219;0.6882;3;3
220;0.4772;3;2
221;0.891;3;4
222;0.8242;4;4
223;0.8546;4;3
224;0.9578;4;5
225;0.916;5;5
226;0.9668;5;4
227;0.7916;5;6
228;0.8598;4;4
229;0.802;4;3
230;0.8904;4;5
231;0.8294;5;5
232;0.8428;5;4
233;0.6768;5;6
234;0.8142;4;4
235;0.9092;4;3
236;0.8014;4;5
237;0.7424;3;3
238;0.5038;3;2
239;0.9202;3;4
240;0.953;4;4
241;0.8906;4;3
242;0.6756;4;5
243;0.8336;4;5
244;0.9122;4;3
245;0.8724;4;5
246;0.8948;3;3
247;0.4834;3;2
248;0.9334;3;4
249;0.8872;4;4
250;0.8336;4;3
251;0.888;4;5
252;0.9096;5;5
253;0.9046;5;4
254;0.8344;5;6
255;0.7906;5;6
256;1;5;4
257;0.8954;5;6
258;0.7902;4;4
259;0.9184;4;3
260;0.9202;4;5
261;0.951;5;5
262;0.7986;5;4
263;0.8082;5;6
264;0.896;5;6
265;0.8864;5;4
266;0.871;5;6
267;0.8378;5;6
268;0.8542;5;4
269;0.6096;5;6
270;0.8804;4;4
271;0.7498;4;3
272;0.948;4;5
273;0.8544;5;5
274;0.9922;5;4
275;0.816;5;6
276;0.9414;4;4
277;0.8176;4;3
278;0.9642;4;5
279;0.9448;5;5
280;0.9932;5;4
281;0.7486;5;6
282;0.929;4;4
283;0.815;4;3
284;0.6822;4;5
285;0.8514;4;5
